iter	RMSE
0	14.96947091
1	14.92798952
2	14.8929693
3	14.85625136
4	14.82515297
5	14.80678416
6	14.78051634
7	14.75616817
8	14.72995223
9	14.71057254
10	14.6870147
11	14.66516695
12	14.64490732
13	14.62871272
14	14.61136988
15	14.60241228
16	14.58669485
17	14.57425645
18	14.56286091
19	14.5500661
20	14.53860641
21	14.5280558
22	14.52282824
23	14.51645778
24	14.50879746
25	14.50611179
26	14.49747924
27	14.49076512
28	14.48864002
29	14.48508685
30	14.47911127
31	14.4724627
32	14.46630358
33	14.46114971
34	14.45608979
35	14.45267289
36	14.45015905
37	14.4456506
38	14.44257233
39	14.43861353
40	14.43507213
41	14.43393589
42	14.43087356
43	14.42859645
44	14.42609151
45	14.4242253
46	14.42223712
47	14.41977964
48	14.41807294
49	14.41654303
50	14.41450511
51	14.41382458
52	14.41313419
53	14.41134822
54	14.41058562
55	14.41020846
56	14.40965109
57	14.40858579
58	14.40728896
59	14.40645276
60	14.40539812
61	14.40451627
62	14.4042274
63	14.40370736
64	14.40315805
65	14.40274619
66	14.40229563
67	14.40165604
68	14.40094758
69	14.4000629
70	14.39970826
71	14.39945688
72	14.39916211
73	14.39901451
74	14.39893803
75	14.39843375
76	14.39773404
77	14.39732285
78	14.39701198
79	14.3969957
80	14.39673578
81	14.39624188
82	14.39570404
83	14.39539386
84	14.39491844
85	14.39479115
86	14.39450246
87	14.3942321
88	14.39385305
89	14.39367947
90	14.39345383
91	14.39328199
92	14.39311021
93	14.39293041
94	14.39266898
95	14.39258953
96	14.39243284
97	14.39227384
98	14.3922386
99	14.39207218
100	14.39192467
101	14.3917053
102	14.39164667
103	14.39144773
104	14.39142387
105	14.39129886
106	14.39125389
107	14.39108392
108	14.39101966
109	14.39100234
110	14.39100142
111	14.39098545
112	14.39092714
113	14.3908781
114	14.39073561
115	14.3906205
116	14.39054467
117	14.39044539
118	14.39036859
119	14.39029133
120	14.39026728
121	14.39020209
122	14.39015459
123	14.3901332
124	14.39013298
125	14.39012608
126	14.39009778
127	14.39009191
128	14.39002544
129	14.38994546
130	14.38987133
131	14.38982481
132	14.38980224
133	14.38979678
134	14.38978158
135	14.389767
136	14.38976199
137	14.38975863
138	14.38973488
139	14.38969291
140	14.38967703
141	14.38966102
142	14.38964263
143	14.38962649
144	14.38962401
145	14.38961234
146	14.3896123
147	14.38961226
148	14.38961223
149	14.38958811
150	14.38957643
151	14.38954351
152	14.38953893
153	14.38953891
154	14.38952504
155	14.38950395
156	14.38950394
157	14.38948518
158	14.38946354
159	14.38946352
160	14.38944454
161	14.3894279
162	14.38941705
163	14.38938168
164	14.38936439
165	14.38933641
166	14.38932787
167	14.38930772
168	14.38930014
169	14.38929743
170	14.38929035
171	14.38929034
172	14.38928331
173	14.38926172
174	14.38924582
175	14.38923462
176	14.38923201
177	14.38921306
178	14.38920224
179	14.38920154
180	14.38920154
181	14.38920154
182	14.38918856
183	14.38918335
184	14.38917832
185	14.38917177
186	14.38915422
187	14.38915081
188	14.38914618
189	14.38914049
190	14.38914048
191	14.38913889
192	14.38912983
193	14.38912983
194	14.38911887
195	14.38911664
196	14.38910879
197	14.38909929
198	14.38908885
199	14.38908268
200	14.38907165
201	14.38906143
202	14.38905895
203	14.38905622
204	14.38904712
205	14.38904601
206	14.38904206
207	14.38903769
208	14.38902995
209	14.38902276
210	14.38901995
211	14.38901948
212	14.38901804
213	14.38901804
214	14.38901544
215	14.38901013
216	14.38900647
217	14.38900098
218	14.38899589
219	14.38899179
220	14.38899074
221	14.3889876
222	14.38898403
223	14.38898242
224	14.38898076
225	14.38898033
226	14.38898014
227	14.38897656
228	14.38897324
229	14.38897107
230	14.38896852
231	14.38896706
232	14.38896443
233	14.38896246
234	14.38896246
235	14.38896191
236	14.38896144
237	14.38896131
238	14.38896004
239	14.38895959
240	14.3889586
241	14.38895775
242	14.38895684
243	14.38895608
244	14.3889552
245	14.38895368
246	14.38895288
247	14.38895211
248	14.38895145
249	14.38895074
250	14.38895045
251	14.38894903
252	14.38894879
253	14.38894835
254	14.38894766
255	14.38894701
256	14.38894605
257	14.38894494
258	14.38894446
259	14.38894359
260	14.3889431
261	14.38894221
262	14.38894216
263	14.38894134
264	14.38894094
265	14.3889402
266	14.38893952
267	14.38893908
268	14.38893848
269	14.38893798
270	14.3889379
271	14.38893738
272	14.38893691
273	14.38893646
274	14.38893605
275	14.38893586
276	14.3889355
277	14.38893516
278	14.38893484
279	14.38893455
280	14.38893441
281	14.38893425
282	14.38893403
283	14.38893381
284	14.38893366
285	14.38893347
286	14.38893333
287	14.38893315
288	14.38893298
289	14.38893282
290	14.3889328
291	14.38893265
292	14.38893254
293	14.38893243
294	14.38893243
295	14.38893231
296	14.3889322
297	14.38893215
298	14.38893205
299	14.38893198
300	14.3889319
301	14.38893182
302	14.38893174
303	14.3889317
304	14.38893163
305	14.3889316
306	14.38893155
307	14.38893151
308	14.38893146
309	14.38893141
310	14.38893137
311	14.38893132
312	14.38893129
313	14.38893125
314	14.38893124
315	14.3889312
316	14.38893117
317	14.38893115
318	14.38893112
319	14.38893111
320	14.38893109
321	14.38893107
322	14.38893105
323	14.38893103
324	14.38893101
325	14.388931
326	14.38893098
327	14.38893097
328	14.38893096
329	14.38893095
330	14.38893094
331	14.38893093
332	14.38893092
333	14.38893091
334	14.3889309
335	14.3889309
336	14.38893089
337	14.38893089
338	14.38893088
339	14.38893088
340	14.38893087
341	14.38893086
342	14.38893086
343	14.38893086
344	14.38893085
345	14.38893085
346	14.38893085
347	14.38893084
348	14.38893084
349	14.38893084
350	14.38893083
351	14.38893083
352	14.38893083
353	14.38893083
354	14.38893082
355	14.38893082
356	14.38893082
357	14.38893082
358	14.38893082
359	14.38893082
360	14.38893082
361	14.38893081
362	14.38893081
363	14.38893081
364	14.38893081
365	14.38893081
366	14.38893081
367	14.38893081
368	14.38893081
369	14.38893081
370	14.38893081
371	14.38893081
372	14.38893081
373	14.3889308
374	14.3889308
375	14.3889308
376	14.3889308
377	14.3889308
378	14.3889308
379	14.3889308
380	14.3889308
381	14.3889308
382	14.3889308
383	14.3889308
384	14.3889308
385	14.3889308
386	14.3889308
387	14.3889308
388	14.3889308
389	14.3889308
390	14.3889308
391	14.3889308
392	14.3889308
393	14.3889308
394	14.3889308
395	14.3889308
396	14.3889308
397	14.3889308
398	14.3889308
399	14.3889308
400	14.3889308
401	14.3889308
402	14.3889308
403	14.3889308
404	14.3889308
405	14.3889308
406	14.3889308
407	14.3889308
408	14.3889308
409	14.3889308
410	14.3889308
411	14.3889308
412	14.3889308
413	14.3889308
414	14.3889308
415	14.3889308
416	14.3889308
417	14.3889308
418	14.3889308
419	14.3889308
420	14.3889308
421	14.3889308
422	14.3889308
423	14.3889308
424	14.3889308
425	14.3889308
426	14.3889308
427	14.3889308
428	14.3889308
429	14.3889308
430	14.3889308
431	14.3889308
432	14.3889308
433	14.3889308
434	14.3889308
435	14.3889308
436	14.3889308
437	14.3889308
438	14.3889308
439	14.3889308
440	14.3889308
441	14.3889308
442	14.3889308
443	14.3889308
444	14.3889308
445	14.3889308
446	14.3889308
447	14.3889308
448	14.3889308
449	14.3889308
450	14.3889308
451	14.3889308
452	14.3889308
453	14.3889308
454	14.3889308
455	14.3889308
456	14.3889308
457	14.3889308
458	14.3889308
459	14.3889308
460	14.3889308
461	14.3889308
462	14.3889308
463	14.3889308
464	14.3889308
465	14.3889308
466	14.3889308
467	14.3889308
468	14.3889308
469	14.3889308
470	14.3889308
471	14.3889308
472	14.3889308
473	14.3889308
474	14.3889308
475	14.3889308
476	14.3889308
477	14.3889308
478	14.3889308
479	14.3889308
480	14.3889308
481	14.3889308
482	14.3889308
483	14.3889308
484	14.3889308
485	14.3889308
486	14.3889308
487	14.3889308
488	14.3889308
489	14.3889308
490	14.3889308
491	14.3889308
492	14.3889308
493	14.3889308
494	14.3889308
495	14.3889308
496	14.3889308
497	14.3889308
498	14.3889308
499	14.3889308
500	14.3889308
501	14.3889308
502	14.3889308
503	14.3889308
504	14.3889308
505	14.3889308
506	14.3889308
507	14.3889308
508	14.3889308
509	14.3889308
510	14.3889308
511	14.3889308
512	14.3889308
513	14.3889308
514	14.3889308
515	14.3889308
516	14.3889308
517	14.3889308
518	14.3889308
519	14.3889308
520	14.3889308
521	14.3889308
522	14.3889308
523	14.3889308
524	14.3889308
525	14.3889308
526	14.3889308
527	14.3889308
528	14.3889308
529	14.3889308
530	14.3889308
531	14.3889308
532	14.3889308
533	14.3889308
534	14.3889308
535	14.3889308
536	14.3889308
537	14.3889308
538	14.3889308
539	14.3889308
540	14.3889308
541	14.3889308
542	14.3889308
543	14.3889308
544	14.3889308
545	14.3889308
546	14.3889308
547	14.3889308
548	14.3889308
549	14.3889308
550	14.3889308
551	14.3889308
552	14.3889308
553	14.3889308
554	14.3889308
555	14.3889308
556	14.3889308
557	14.3889308
558	14.3889308
559	14.3889308
560	14.3889308
561	14.3889308
562	14.3889308
563	14.3889308
564	14.3889308
565	14.3889308
566	14.3889308
567	14.3889308
568	14.3889308
569	14.3889308
570	14.3889308
571	14.3889308
572	14.3889308
573	14.3889308
574	14.3889308
575	14.3889308
576	14.3889308
577	14.3889308
578	14.3889308
579	14.3889308
580	14.3889308
581	14.3889308
582	14.3889308
583	14.3889308
584	14.3889308
585	14.3889308
586	14.3889308
587	14.3889308
588	14.3889308
589	14.3889308
590	14.3889308
591	14.3889308
592	14.3889308
593	14.3889308
594	14.3889308
595	14.3889308
596	14.3889308
597	14.3889308
598	14.3889308
599	14.3889308
600	14.3889308
601	14.3889308
602	14.3889308
603	14.3889308
604	14.3889308
605	14.3889308
606	14.3889308
607	14.3889308
608	14.3889308
609	14.3889308
610	14.3889308
611	14.3889308
612	14.3889308
613	14.3889308
614	14.3889308
615	14.3889308
616	14.3889308
617	14.3889308
618	14.3889308
619	14.3889308
620	14.3889308
621	14.3889308
622	14.3889308
623	14.3889308
624	14.3889308
625	14.3889308
626	14.3889308
627	14.3889308
628	14.3889308
629	14.3889308
630	14.3889308
631	14.3889308
632	14.3889308
633	14.3889308
634	14.3889308
635	14.3889308
636	14.3889308
637	14.3889308
638	14.3889308
639	14.3889308
640	14.3889308
641	14.3889308
642	14.3889308
643	14.3889308
644	14.3889308
645	14.3889308
646	14.3889308
647	14.3889308
648	14.3889308
649	14.3889308
650	14.3889308
651	14.3889308
652	14.3889308
653	14.3889308
654	14.3889308
655	14.3889308
656	14.3889308
657	14.3889308
658	14.3889308
659	14.3889308
660	14.3889308
661	14.3889308
662	14.3889308
663	14.3889308
664	14.3889308
665	14.3889308
666	14.3889308
667	14.3889308
668	14.3889308
669	14.3889308
670	14.3889308
671	14.3889308
672	14.3889308
673	14.3889308
674	14.3889308
675	14.3889308
676	14.3889308
677	14.3889308
678	14.3889308
679	14.3889308
680	14.3889308
681	14.3889308
682	14.3889308
683	14.3889308
684	14.3889308
685	14.3889308
686	14.3889308
687	14.3889308
688	14.3889308
689	14.3889308
690	14.3889308
691	14.3889308
692	14.3889308
693	14.3889308
694	14.3889308
695	14.3889308
696	14.3889308
697	14.3889308
698	14.3889308
699	14.3889308
